mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	4/4	1	1	d.i{	0.190319	-2.78548		/		d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
1	1	3/8	3/8	4/4	1	1	V/iv						d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
1	1	1/2	1/2	4/4	1	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.5	0.0
1	1	3/4	3/4	4/4	1	1	V/III						d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
2	2	0	0	4/4	1	1	III						d	i		III	III							M	1	1	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.0625	0.5625	0.1
2	2	3/8	3/8	4/4	1	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	2	1/2	1/2	4/4	1	1	IV7(9)						d	i		IV7(9)	IV		7	9				Mm7	1	1	1, 5, 2, -1	3	1	1	0	2	0.0	0.0	0.25	0.0
2	2	5/8	5/8	4/4	1	1	V7						d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
2	2	3/4	3/4	4/4	1	1	VI						d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
2	2	7/8	7/8	4/4	1	1	ii%65						d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	4/4	1	1	V|HC.CON}						d	i		V	V					HC.CON	}	M	1	1	3, 7, 4		3	3	0	7	0.0	0.0	0.875	0.0
3	3	1/2	1/2	4/4	1	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	1	4	0.2	0.0625	0.4375	0.125
3	3	3/4	3/4	4/4	1	1	IV						d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
4	4	0	0	4/4	1	1	VII						d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.5	0.0
4	4	1/4	1/4	4/4	1	1	v.i						d	v		i	i							m	1	1	3, 0, 4		3	3	0	1	0.0	0.0	0.125	0.0
4	4	3/8	3/8	4/4	1	1	iv						d	v		iv	iv							m	1	1	2, -1, 3		2	2	2	2	0.5	0.125	0.125	0.5
4	4	1/2	1/2	4/4	1	1	ii%43						d	v		ii%43	ii	%	43					%7	1	1	-1, 3, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
4	4	5/8	5/8	4/4	1	1	i64						d	v		i64	i		64					m	1	1	4, 3, 0		3	4	0	2	0.0	0.0	0.25	0.0
4	4	3/4	3/4	4/4	1	1	ii%65						d	v		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5	2	0	2	0.0	0.0	0.25	0.0
4	4	7/8	7/8	4/4	1	1	ii%43						d	v		ii%43	ii	%	43					%7	1	1	-1, 3, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
5	5	0	0	4/4	1	1	V						d	v		V	V							M	1	1	4, 8, 5		4	4	2	3	0.4	0.125	0.375	0.25
5	5	1/4	1/4	4/4	1	1	V65						d	v		V65	V		65					Mm7	1	1	8, 5, 2, 4		4	8	1	5	0.16666666666666666	0.0625	0.4375	0.125
5	5	1/2	1/2	4/4	1	1	i						d	v		i	i							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.3125	0.0
5	5	5/8	5/8	4/4	1	1	ii%65						d	v		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5	2	0	2	0.0	0.0	0.1875	0.0
5	5	3/4	3/4	4/4	1	1	V						d	v		V	V							M	1	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.0625	0.4375	0.125
6	6	0	0	4/4	1	1	i|PAC}						d	v		i	i					PAC	}	m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	0.625	0.0
6	6	1/4	1/4	4/4	1	1	III.V7/ii						d	III		V7/ii	V		7		ii			Mm7	1	0	2, 6, 3, 0		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
6	6	1/2	1/2	4/4	1	1	ii						d	III		ii	ii							m	1	0	1, -2, 2		1	1	0	4	0.0	0.0	0.625	0.0
6	6	3/4	3/4	4/4	1	1	V7						d	III		V7	V		7					Mm7	1	0	0, 4, 1, -2		0	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
7	7	0	0	4/4	1	1	I|IAC}						d	III		I	I					IAC	}	M	1	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
7	7	1/4	1/4	4/4	1	1	ii7	0.112411	-3.54		/		d	III		ii7	ii		7					mm7	1	0	1, -2, 2, -1		1	1	2	2	0.5	0.1875	0.1875	0.5
7	7	1/2	1/2	4/4	1	1	v						d	III		v	v							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	0.625	0.0
