mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	-1	3/4	3/4	0						firstMeasure					2
2	2	-1	3/4	3/4	0							segno				3
3	3	-1	3/4	3/4	0											4
4	4	-1	3/4	3/4	0											5
5	5	-1	3/4	3/4	0					line						6
6	6	-1	3/4	3/4	0											7
7	7	-1	3/4	3/4	0											8
8	8	-1	3/4	3/4	0											9
9	9	-1	3/4	3/4	0											10
10	10	-1	3/4	3/4	0											11
11	11	-1	3/4	3/4	0											12
12	12	-1	3/4	3/4	0											13
13	13	-1	3/4	3/4	0					line						14
14	14	-1	3/4	3/4	0											15
15	15	-1	3/4	3/4	0											16
16	16	-1	3/4	3/4	0											17
17	17	-1	3/4	3/4	0											18
18	18	-1	3/4	3/4	0											19
19	19	-1	3/4	3/4	0											20, 21, 22
20	20	-1	3/4	3/4	0	1					end					1
21	20	-1	3/4	3/4	0	2		1		page	start	segno				21, 22
22	20	-1	3/4	3/4	0	3		1	start-repeat		start					23
23	21	-1	3/4	3/4	0											24
24	22	-1	3/4	3/4	0											25
25	23	-1	3/4	3/4	0											26
26	24	-1	3/4	3/4	0											27
27	25	-1	3/4	3/4	0											28
28	26	-1	3/4	3/4	0											29
29	27	-1	3/4	3/4	0											30
30	28	-1	3/4	3/4	0					line						31
31	29	-1	3/4	3/4	0											32
32	30	-1	3/4	3/4	0											33
33	31	-1	3/4	3/4	0											34
34	32	-1	3/4	3/4	0											35
35	33	-1	3/4	3/4	0											36
36	34	-1	3/4	3/4	0											37
37	35	-1	3/4	3/4	0											38
38	36	-1	3/4	3/4	0											39
39	37	-1	3/4	3/4	0					line						40
40	38	-1	3/4	3/4	0											41
41	39	-1	3/4	3/4	0											42
42	40	-1	3/4	3/4	0											43
43	41	-1	3/4	3/4	0											44
44	42	-1	3/4	3/4	0											45
45	43	-1	3/4	3/4	0											46
46	44	-1	3/4	3/4	0											47
47	45	-1	3/4	3/4	0											48
48	46	-1	3/4	3/4	0						end	fine				22
