mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	1/8	3/8	1	1	a.i	a	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1/2	0.5	1/8	1/4	3/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	1	1.0	0	0	3/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	2	0.5	1/4	1/4	3/8	1	1	III6	a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
3	2	5/2	0.5	0	0	3/8	1	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
3	2	3	0.5	1/8	1/8	3/8	1	1	III.I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
3	2	7/2	0.5	1/4	1/4	3/8	1	1	V43	a	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
4	3	4	0.5	0	0	3/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
4	3	9/2	1.0	1/8	1/8	3/8	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
5	4	11/2	0.5	0	0	3/8	1	1	I\\	a	III		I	I						\\	M	1	0	0, 4, 1		0	0
5	4	6	1.0	1/8	1/8	3/8	1	1	i.V65/iv	a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
6	5	7	0.5	0	0	3/8	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	5	15/2	1.0	1/8	1/8	3/8	1	1	ii%7	a	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
7	6	17/2	0.5	0	0	3/8	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
7	6	9	0.5	1/8	1/8	3/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	6	19/2	0.5	1/4	1/4	3/8	1	1	V43	a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
8	7	10	0.5	0	0	3/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
8	7	21/2	1.0	1/8	1/8	3/8	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
9	8	23/2	0.5	0	0	3/8	1	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
10	8	12	0.5	0	1/8	3/8	1	1	V/iv	a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
10	8	25/2	0.5	1/8	1/4	3/8	1	1	V65/iv	a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
11	8	13	0.5	0	0	3/8	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	8	27/2	0.5	1/8	1/8	3/8	1	1	V65/III	a	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
