mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/16	5/16	4/4	1	1	A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
1	0	1/8	3/8	4/4	1	1	viio6	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
1	0	1/4	1/2	4/4	1	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	0	3/8	5/8	4/4	1	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
1	0	1/2	3/4	4/4	1	1	V(4)	A	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
1	0	5/8	7/8	4/4	1	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
2	1	0	0	4/4	1	1	vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
2	1	1/8	1/8	4/4	1	1	IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	1	1/4	1/4	4/4	1	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	1	1/2	1/2	4/4	1	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	1	5/8	5/8	4/4	1	1	IVM7	A	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
2	1	3/4	3/4	4/4	1	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
3	2	0	0	4/4	1	1	I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
3	2	1/4	1/4	4/4	1	1	vi6	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
3	2	1/2	1/2	4/4	1	1	viio7	A	I		viio7	vii	o	7					o7	0	0	5, 2, -1, -4		5	5
3	2	3/4	3/4	4/4	1	1	V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	7/8	7/8	4/4	1	1	iii	A	I		iii	iii							m	0	0	4, 1, 5		4	4
4	3	0	0	4/4	1	1	vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	3	1/4	1/4	4/4	1	1	ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	1/2	1/2	4/4	1	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
4	3	5/8	5/8	4/4	1	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	3/4	3/4	4/4	1	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	4	0	0	4/4	1	1	V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
5	4	3/8	3/8	4/4	1	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/2	1/2	4/4	1	1	V.IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	5/8	5/8	4/4	1	1	I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	3/4	3/4	4/4	1	1	ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
5	4	7/8	7/8	4/4	1	1	ii7	A	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	5	0	0	4/4	1	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
6	5	3/8	3/8	4/4	1	1	iii7	A	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
6	5	1/2	1/2	4/4	1	1	vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
6	5	3/4	3/4	4/4	1	1	IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
6	5	7/8	7/8	4/4	1	1	IV7	A	V		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
7	6	0	0	4/4	1	1	V6	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	6	1/4	1/4	4/4	1	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
7	6	3/8	3/8	4/4	1	1	V2	A	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	1/2	1/2	4/4	1	1	I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	5/8	5/8	4/4	1	1	viio6	A	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
7	6	11/16	11/16	4/4	1	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
7	6	3/4	3/4	4/4	1	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
8	7	0	0	4/4	1	1	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
