mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	g.i	g	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	1	1	v6	g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	0	0	4/4	1	1	ii%43	g	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
2	2	1/2	1/2	4/4	1	1	ii%65	g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	3	0	0	4/4	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	1/2	1/2	4/4	1	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	4/4	1	1	ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
4	4	1/2	1/2	4/4	1	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	4/4	1	1	i\\	g	i		i	i						\\	m	1	1	0, -3, 1		0	0
5	5	3/4	3/4	4/4	1	1	i2	g	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
6	6	0	0	4/4	1	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	1/2	1/2	4/4	1	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	0	0	4/4	1	1	VII	g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
7	7	1/2	1/2	4/4	1	1	v	g	i		v	v							m	1	1	1, -2, 2		1	1
8	8	0	0	4/4	1	1	i7	g	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
8	8	1/2	1/2	4/4	1	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	0	0	4/4	1	1	V7/III	g	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	1/2	1/2	4/4	1	1	III64	g	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
10	10	0	0	4/4	1	1	vi%7	g	i		vi%7	vi	%	7					%7	1	1	-4, -7, -10, -6		-4	-4
10	10	1/2	1/2	4/4	1	1	iio64	g	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
11	11	0	0	4/4	1	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	1/2	1/2	4/4	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
13	12	0	0	4/4	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
14	13	0	0	4/4	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
15	14	0	0	4/4	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
16	15	0	0	4/4	1	1	IV	g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
16	15	1/2	1/2	4/4	1	1	III.V6	g	III		V6	V		6					M	1	0	5, 2, 1		1	5
17	16	0	0	4/4	1	1	ii(4)	g	III		ii(4)	ii			4				m	1	0	2, 1, 3		2	2
