mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	7.0	0	1/2	6/4	1	1	.G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	1	7	2.0	3/4	3/4	6/4	1	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	1	9	1.0	5/4	5/4	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
3	2	10	3.0	0	0	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
3	2	13	3.0	3/4	3/4	6/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	16	3.0	0	0	6/4	1	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	19	3.0	3/4	3/4	6/4	1	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
5	4	22	3.0	0	0	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
5	4	25	1.0	3/4	3/4	6/4	1	1	V.V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	26	2.0	1	1	6/4	1	1	V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	28	2.0	0	0	6/4	1	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
6	5	30	1.0	1/2	1/2	6/4	1	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	31	1.0	3/4	3/4	6/4	1	1	vi7	G	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	5	32	2.0	1	1	6/4	1	1	V7/V	G	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	34	2.0	0	0	6/4	1	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
7	6	36	1.0	1/2	1/2	6/4	1	1	V2	G	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	37	2.0	3/4	3/4	6/4	1	1	I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	39	1.0	5/4	5/4	6/4	1	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
8	7	40	2.0	0	0	6/4	1	1	V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
8	7	42	1.0	1/2	1/2	6/4	1	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
8	7	43	1.0	3/4	3/4	6/4	1	1	ii65	G	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	7	44	1.0	1	1	6/4	1	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
8	7	45	1.0	5/4	5/4	6/4	1	1	V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	46	2.0	0	0	6/4	1	1	I\\	G	V		I	I						\\	M	0	0	0, 4, 1		0	0
10	8	48	4.0	0	1/2	6/4	1	1	I.V	G	I		V	V							M	0	0	1, 5, 2		1	1
11	9	52	1.0	0	0	6/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	53	1.0	1/4	1/4	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
11	9	54	1.0	1/2	1/2	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
11	9	55	3.0	3/4	3/4	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
12	10	58	2.0	0	0	6/4	1	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
12	10	60	1.0	1/2	1/2	6/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	10	61	1.0	3/4	3/4	6/4	1	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	10	62	1.0	1	1	6/4	1	1	vi.ii%65	G	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
12	10	63	1.0	5/4	5/4	6/4	1	1	ii%7	G	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
13	11	64	3.0	0	0	6/4	1	1	V	G	vi		V	V							M	0	1	1, 5, 2		1	1
13	11	67	2.0	3/4	3/4	6/4	1	1	V/iv	G	vi		V/iv	V				iv			M	0	1	0, 4, 1		0	0
13	11	69	1.0	5/4	5/4	6/4	1	1	V7/iv	G	vi		V7/iv	V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
14	12	70	2.0	0	0	6/4	1	1	iv	G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
14	12	72	2.0	1/2	1/2	6/4	1	1	ii%65	G	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
14	12	74	1.0	1	1	6/4	1	1	V	G	vi		V	V							M	0	1	1, 5, 2		1	1
14	12	75	1.0	5/4	5/4	6/4	1	1	V7	G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
15	13	76	3.0	0	0	6/4	1	1	I\\	G	vi		I	I						\\	M	0	1	0, 4, 1		0	0
15	13	79	3.0	3/4	3/4	6/4	1	1	I.V/ii	G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
16	14	82	1.0	0	0	6/4	1	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	14	83	2.0	1/4	1/4	6/4	1	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
16	14	85	3.0	3/4	3/4	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
17	15	88	3.0	0	0	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
17	15	91	1.0	3/4	3/4	6/4	1	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
17	15	92	1.0	1	1	6/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	15	93	1.0	5/4	5/4	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
18	16	94	3.0	0	0	6/4	1	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	16	97	3.0	3/4	3/4	6/4	1	1	V65/V	G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	17	100	2.0	0	0	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
19	17	102	1.0	1/2	1/2	6/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
19	17	103	1.0	3/4	3/4	6/4	1	1	ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
19	17	104	1.0	1	1	6/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
19	17	105	1.0	5/4	5/4	6/4	1	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	18	106	3.0	0	0	6/4	1	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
