mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	6/8	1	1	F.I	F	I		I	I							M	0	0	0, 4, 1		0	0
3	2	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
5	4	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
6	5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
7	6	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	6	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	7	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	8	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	8	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	9	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	9	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
10	9	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
10	9	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
11	10	0	0	6/8	1	1	I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
11	10	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	11	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	12	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	12	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
14	13	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	13	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
15	14	0	0	6/8	1	1	I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
16	14	0	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	17	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
19	17	3/8	3/8	6/8	1	1	vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
20	18	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	18	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	19	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
21	19	1/4	1/4	6/8	1	1	IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
21	19	3/8	3/8	6/8	1	1	V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
21	19	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
22	20	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
22	20	3/8	3/8	6/8	1	1	I.I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	21	0	0	6/8	1	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	21	3/8	3/8	6/8	1	1	I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
24	22	0	0	6/8	1	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
24	22	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	23	0	0	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
25	23	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
26	24	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
26	24	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
27	25	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
27	25	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
28	26	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	26	3/8	3/8	6/8	1	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
